Currency,Date,Open,High,Low,Close,Volume
CAD=X,1/1/2020,1.298455,1.298455,1.297935,1.297975,158491662
EUR=X,1/1/2020,1.123315,1.123345,1.122925,1.123345,104079017
GBP=X,1/1/2020,1.327175,1.32756,1.326015,1.32668,149445334
JPY=X,1/1/2020,108.4685,108.4685,108.4685,108.4685,100000000
AUD=X,1/1/2020,0.70209,0.70283,0.701585,0.70223,120777738
SGD=X,1/1/2020,1.345815,1.345815,1.345815,1.345815,100000000
CHF=X,1/1/2020,0.96528,0.96614,0.96528,0.96591,200146639
NZD=X,1/1/2020,0.673635,0.673635,0.672345,0.67349,123235553
SEK=X,1/1/2020,9.3718,9.40619,9.347045,9.392595,310937460
CAD=X,1/2/2020,1.297975,1.300435,1.297575,1.298495,163365967
EUR=X,1/2/2020,1.123345,1.12396,1.12084,1.121165,396408572
GBP=X,1/2/2020,1.32668,1.32748,1.319895,1.321325,634908612
JPY=X,1/2/2020,108.472,108.517,108.47,108.515,140513943
AUD=X,1/2/2020,0.70223,0.702365,0.70024,0.700465,361947912
SGD=X,1/2/2020,1.34624,1.346945,1.34538,1.34689,215071724
CHF=X,1/2/2020,0.965925,0.96866,0.96587,0.967835,403619174
NZD=X,1/2/2020,0.67349,0.67369,0.670845,0.67152,415683035
SEK=X,1/2/2020,9.35135,9.37605,9.350295,9.37395,329246770
CAD=X,1/3/2020,1.29851,1.300515,1.2961,1.3001,293753629
EUR=X,1/3/2020,1.121165,1.12174,1.118935,1.12055,183619849
GBP=X,1/3/2020,1.321325,1.32225,1.316835,1.31799,433131694
JPY=X,1/3/2020,108.515,108.515,108.26491,108.40291,205609485
AUD=X,1/3/2020,0.700465,0.700715,0.697825,0.69864,370852657
CHF=X,1/3/2020,0.967835,0.969195,0.966445,0.968235,163585167
NZD=X,1/3/2020,0.67152,0.671625,0.668815,0.669755,382832770
CAD=X,1/5/2020,1.298955,1.29903,1.2985,1.298945,101218576
EUR=X,1/5/2020,1.116235,1.11878,1.115335,1.118055,347460368
GBP=X,1/5/2020,1.30888,1.309435,1.30655,1.30878,109988956
JPY=X,1/5/2020,107.885,107.9175,107.62,107.8165,164539653
AUD=X,1/5/2020,0.69411,0.69498,0.69323,0.69483,206856938
CHF=X,1/5/2020,0.971175,0.972355,0.96894,0.9698,318574013
NZD=X,1/5/2020,0.66562,0.66619,0.664915,0.665685,110415938
CAD=X,1/6/2020,1.29894,1.29894,1.29593,1.2964,409518376
EUR=X,1/6/2020,1.117995,1.1226,1.11768,1.12145,569766797
GBP=X,1/6/2020,1.30878,1.318505,1.307455,1.318005,1021481223
JPY=X,1/6/2020,107.818,108.3435,107.758,108.26206,518386546
AUD=X,1/6/2020,0.6948,0.696295,0.69304,0.69412,200920442
CHF=X,1/6/2020,0.9698,0.96988,0.96582,0.966835,571325053
NZD=X,1/6/2020,0.66566,0.668365,0.664755,0.667155,339566567
CAD=X,1/7/2020,1.29628,1.302815,1.295665,1.30018,575244750
EUR=X,1/7/2020,1.12145,1.12165,1.115255,1.11729,665623697
GBP=X,1/7/2020,1.318055,1.3222,1.3105,1.3123,674864438
JPY=X,1/7/2020,108.25606,108.4715,107.68406,107.85056,482055903
AUD=X,1/7/2020,0.694035,0.69442,0.685435,0.686365,1238323220
CHF=X,1/7/2020,0.96681,0.971205,0.966615,0.967185,159611094
NZD=X,1/7/2020,0.6671,0.668205,0.662805,0.66335,700919483
CAD=X,1/8/2020,1.30014,1.304335,1.29763,1.30368,531376004
EUR=X,1/8/2020,1.117295,1.118695,1.11208,1.113045,677860748
GBP=X,1/8/2020,1.312345,1.317885,1.30903,1.311395,194895085
JPY=X,1/8/2020,107.84806,109.09335,107.50156,108.92156,1111435294
AUD=X,1/8/2020,0.686365,0.688985,0.685295,0.68779,311487691
CHF=X,1/8/2020,0.967155,0.97228,0.96488,0.97173,827255352
NZD=X,1/8/2020,0.66335,0.66753,0.66205,0.665555,453340656
CAD=X,1/9/2020,1.30368,1.31045,1.302565,1.306285,417439122
